ptl,etal,energyl,ptj,etaj,energyj,massj,mjj,rjj,rjl,met,n21_1,n21_2,n32_1,n32_2,infl,drfl
171.892,1.31149,342.163,159.612,1.9448,569.883,22.6104,165.163,1.93197,0.772608,1605.01,0.0329554,0.461221,0.29689,0.478743,155.14,2.61148
118.053,1.38541,250.667,153.764,-0.919539,223.973,14.8082,197.943,1.73437,2.38568,437.257,0.29252,0.473113,0.612425,0.704835,455.003,0.140616
130.349,2.1975,593.97,904.442,1.13701,1556.8,78.3105,1620.03,3.10046,1.13253,2407.09,0,0.50582,0.334373,0.753814,9.38978,0.00688538
235.223,-0.638895,284.886,131.502,-1.68329,366.848,22.3343,105.833,0.801938,1.08163,931.075,0.505538,0.639429,0.526014,0.556839,245.368,0.106909
326.543,0.148749,330.162,423.025,-1.7521,1259.62,89.9731,613.496,1.45724,3.43291,2280.31,0.208179,0.361314,0.283301,0.329654,365.868,2.59203
131.35,-2.12207,556.148,139.006,-1.52132,333.623,12.5936,212.686,1.95699,0.646851,1297.53,0.175261,0.400534,0.277316,0.479436,171.883,2.58073
202.692,1.15589,353.861,186.321,1.27238,361.178,42.908,93.5091,0.807286,0.16233,389.513,0.363011,0.561029,0.537511,0.649936,183.325,2.32608
140.749,-0.0204945,140.779,324.029,0.162398,330.441,37.4542,488.48,2.41104,2.85971,1935.66,0.191621,0.354319,0.548653,0.670756,279.83,4.09863
125.217,-1.08857,207.027,211.729,-0.38086,230.563,38.8208,388.438,2.6078,1.01942,649.867,0.267366,0.377045,0.429312,0.594781,105.913,1.41725
141.207,1.16689,248.758,229.891,0.629189,279.285,36.2931,61.9209,0.535971,0.575526,658.993,0.355932,0.394314,0.624633,0.677657,145.096,1.06861
231.314,-1.8484,752.601,185.927,0.846298,256.709,8.16477,99.4347,0.807223,2.69736,494.781,0.0261512,0.151788,0.340728,0.425333,243.568,2.30164
312.129,0.0680622,312.852,386.841,-0.40651,427.875,85.4956,210.338,0.778558,0.553523,205.678,0.202076,0.36445,0.159233,0.461265,250.568,2.38769
128.683,-0.127511,129.731,61.2608,-1.73261,178.938,10.2796,52.1402,0.852177,2.88196,250.007,0.483891,0.569704,0.117827,0.226695,96.8375,1.64778
204.287,0.49569,229.903,207.852,-0.853335,289.238,24.0743,308.47,2.14852,1.63343,449.191,0.145195,0.221676,0,0.585665,365.968,3.04955
129.665,0.281915,134.852,353.065,-1.00224,546.298,24.7163,853.992,3.88166,1.29417,250.492,0.443988,0.692113,0.573449,0.730706,186.995,1.02469
165.154,-0.639638,200.107,589.326,0.201173,610.572,106.05,638.882,2.51645,0.926199,311.838,0.200516,0.487919,0.327319,0.567444,338.92,2.69286
185.01,-1.30313,365.626,120.93,-0.186341,123.734,13.1327,83.0854,0.973959,1.12056,355.973,0,0.372596,0.649827,0.676102,287.526,2.15283
234.772,1.68545,655.043,184.541,0.661524,227.139,18.1393,238.848,2.03271,1.04727,742.476,0.278226,0.556685,0.336397,0.79105,127.88,1.36249
275.706,0.212412,281.949,167.709,1.18364,299.857,13.2544,88.8609,0.553363,3.24843,88.8406,0.115327,0.15398,0.162856,0.461296,230.814,2.08768
641.084,0.474128,714.501,569.981,-1.77289,1726.64,30.0427,1526.06,3.0336,2.91112,3769.69,0.0344556,0.183441,0.545181,0.604447,352.821,2.81425
226.604,-0.0245318,226.672,109.357,-1.01776,172.651,23.4066,214.439,0.894808,2.55067,2178.51,0.0407271,0.23295,0,0.325872,251.895,3.15438
135.332,1.07157,220.756,152.417,-0.0634188,153.714,17.4195,396.39,2.25051,2.26391,239.377,0.306418,0.326748,0.255259,0.321164,228.671,2.85736
171.653,0.180345,174.452,529.814,0.272623,551.789,48.821,761.045,2.43707,0.325784,583.495,0.149446,0.331083,0.657536,0.675184,350.083,1.8494
172.296,0.455347,190.469,255.538,-1.34462,524.4,30.4156,783.394,2.24356,3.00745,217.943,0.124819,0.528082,0.167375,0.5552,33.9653,0.360668
160.97,1.4834,373.03,99.7066,-0.528367,116.354,23.5228,61.9533,2.46492,3.52723,616.737,0.419199,0.443325,0.421536,0.819902,559.54,3.79447
245.202,-1.4463,549.6,130.17,-1.558,323.007,11.2035,148.172,1.25844,2.66701,1074.47,0.212012,0.23589,0.495167,0.752197,58.4539,0.439922
196.645,2.26488,957.055,131.053,1.0084,205.087,25.2614,234.649,0.92457,2.3941,597.524,0.253796,0.32136,0.594124,0.627671,922.906,2.35437
247.2,0.799687,330.545,244.637,-0.569502,286.705,27.4055,377.549,2.42963,1.40684,487.896,0.405648,0.49065,0.416852,0.607829,173.733,1.7122
420.054,0.0969253,422.028,310.61,1.28421,604.298,21.0391,510.137,1.94788,2.57653,2079.74,0,0.417631,0.419496,0.660729,345.857,2.51867
129.71,-0.34966,137.72,111.43,0.284948,116.729,13.1624,206.118,1.3292,2.24453,34.5767,0.174129,0.367594,0.295719,0.59095,119.766,2.4989
189.415,-0.114681,190.662,140.561,1.49415,329.379,17.5781,270.999,1.8529,1.75022,396.59,0.425643,0.429192,0.558751,0.584087,484.698,3.13653
157.39,2.1338,674.047,237.04,0.855211,329.864,21.863,288.084,1.45839,2.44317,606.298,0.159889,0.539785,0.59947,0.617566,318.154,1.88861
234.107,-0.485895,262.291,353.679,-1.90035,1209.61,32.2249,489.804,2.83728,3.39424,1210.03,0.0555101,0.251951,0.288452,0.435441,89.4242,2.49375
196.936,1.02618,310.052,179.847,1.44148,402.342,27.8743,2132.65,2.22994,2.85495,1530.73,0.17101,0.344254,0.38823,0.519814,159.409,1.66278
153.072,-0.534391,175.454,110.822,0.586743,131.096,12.9723,123.233,2.62328,3.0539,136.827,0.660458,0.70624,0.585449,0.735294,341.93,3.45079
178.625,-0.550966,206.43,315.91,0.89658,452.361,25.893,316.889,2.69025,3.31,244.263,0.525,0.884189,0.295865,0.568626,65.5027,0.503532
144.314,2.10468,600.808,226.008,-0.366766,242.243,20.4299,363.891,2.9303,2.47803,89.3591,0.229004,0.310293,0.434724,0.686707,1018.57,1.86515
133.473,-1.45501,301.511,323.288,-0.914313,469.801,39.9868,506.79,3.12663,0.550338,1109.19,0.404003,0.427843,0.331896,0.845111,179.005,1.5313
142.17,0.83177,194.251,528.475,1.3973,1134.46,32.8113,770.234,3.18649,0.888631,955.829,0,0.346572,0.11218,0.448546,127.934,1.68084
243.611,-0.576003,285.154,541.415,-1.14519,938.536,54.2054,634.615,2.7437,2.89005,814.569,0.364686,0.584312,0.454307,0.545597,539.578,3.20527
124.837,-0.296707,130.372,204.037,1.19088,366.959,15.1015,275.346,2.40289,1.56862,1417.19,0.247127,0.419942,0.247225,0.301232,154.241,1.7483
514.422,-1.189,922.958,347.678,2.36837,1873.04,25.1957,412.349,1.56247,3.08973,1513.99,0,0.289141,0.244661,0.517136,653.56,3.03386
243.41,-0.912546,351.99,215.262,-1.29966,424.405,15.0594,425.186,2.93593,0.396542,1054.23,0.23371,0.505697,0.274256,0.660423,355.887,2.56112
159.383,-0.105642,160.273,142.667,0.319318,150.958,16.951,189.562,1.37164,0.436266,2005.06,0.103557,0.456479,0.251635,0.744328,724.398,1.28911
195.561,-0.735217,250.84,114.159,0.882014,162.214,15.0057,75.6178,1.20338,1.61774,246.592,0.145902,0.258524,0,0.185172,370.387,2.89038
162.451,1.47157,372.472,201.97,1.4714,463.197,13.1025,372.136,2.44987,2.28076,1603.35,0,0.32089,0.312542,0.414994,5.91472,0.00921478
507.433,0.163625,514.241,936.813,0.549863,1094.7,166.001,963.294,2.89757,2.70173,682.716,0.121708,0.329608,0.361397,0.362417,189.879,1.28653
474.366,0.851103,656.8,582.108,1.02846,921.561,80.0855,651.684,2.48739,2.97681,863.862,0.164821,0.677596,0.485979,0.764476,528.246,2.43942
124.013,-1.40705,268.41,114.36,-1.35727,236.977,6.28739,220.789,3.41783,3.06795,608.711,0.528686,0.774442,0.144282,0.177106,113.783,0.948534
132.026,1.35945,274.01,119.706,-1.55127,295.122,6.98442,338.73,2.91288,2.93039,912.772,0.345792,0.56262,0.25066,0.630713,304.986,3.59371
181.454,0.586679,213.587,198.365,0.537712,228.956,23.5723,82.5225,0.703038,0.525243,104.58,0.00207533,0.141558,0,0.613324,699.314,2.60663
292.418,0.437538,320.858,490.293,1.22452,909.895,82.3232,954.296,3.17484,0.849203,873.335,0.142125,0.225863,0.667001,0.6766,172.334,2.24182
157.04,0.440185,172.502,292.16,1.48886,681.8,43.7579,165.103,1.63325,3.07374,1260.95,0.178241,0.410929,0.678087,0.702417,178.057,1.69468
242.605,0.854659,336.736,245.955,1.17852,437.782,16.5989,365.913,2.40128,2.81593,877.659,0.0683387,0.490231,0.313332,0.478537,164.558,1.67204
336.978,0.44437,370.8,272.553,0.631997,329.695,23.9889,544.688,2.70345,2.64853,303.015,0.0790093,0.24091,0.637583,0.645018,531.585,2.21115
64.1723,1.02855,101.217,674.672,-0.0327595,675.694,29.8478,998.708,2.4758,1.08812,617.308,0.186709,0.284516,0.391924,0.611303,184.146,2.62355
151.559,-0.188437,154.258,161.989,-0.283437,168.912,11.2139,219.273,2.22167,2.96,1334.33,0.210768,0.579678,0.203827,0.553673,221.296,2.19558
186.806,0.516909,212.323,283.996,0.0807022,288.585,45.8344,742.438,3.19278,0.710757,1683.74,0.35578,0.515551,0.496647,0.505141,475.564,2.62226
205.681,-0.235791,211.426,300.639,-0.846134,415.271,19.0275,187.794,1.25984,0.616091,65.0417,0.44494,0.478406,0.206155,0.339912,131.841,1.61292
147.25,-0.222769,150.919,145.862,0.56982,171.203,18.5958,83.5452,0.578147,2.677,803.212,0.15071,0.441701,0.494336,0.655129,130.699,1.89325
123.053,1.59614,316.037,348.46,0.64796,425.055,26.8514,145.288,0.846448,3.19475,2249.57,0.140196,0.676884,0.286504,0.372236,103.623,1.7241
115.74,1.81173,363.677,126.395,0.723068,161.359,12.1492,76.4091,1.03433,1.09141,570.008,0.564437,0.676637,0.289679,0.803512,136.223,2.55759
172.123,0.404195,186.375,129.914,-0.504699,147.541,14.6315,73.4097,0.619863,3.0882,566.914,0.068789,0.436026,0.427389,0.597537,142.407,2.15211
123.322,-0.363793,131.573,154.191,0.948653,229.833,20.2978,152.55,2.15444,1.33127,133.568,0.226151,0.663818,0.41865,0.534519,103.591,1.73475
241.007,0.276364,250.269,347.841,-1.04102,558.438,70.5152,381.669,2.61905,1.32589,1468.03,0.121611,0.425168,0.458005,0.730343,388.971,2.16632
414.106,-0.064998,414.981,274.641,-2.15355,1199.22,22.5603,984.697,3.30077,2.31294,1989.04,0.0203602,0.155147,0.05952,0.615479,668.528,0.318662
145.491,-1.02981,229.702,411.536,-0.350191,446.199,89.9943,407.609,1.89028,0.938603,545.031,0,0.203627,0.568683,0.612442,128.66,1.68305
175.501,0.607831,208.931,160.893,-0.469767,181.38,29.4456,131.96,0.921767,3.06067,664.929,0.0855422,0.179154,0.290405,0.40538,85.495,1.10594
144.224,1.71045,411.92,174.696,1.04004,278.952,22.9239,190.968,1.9351,0.674246,763.926,0.122154,0.36271,0.183273,0.287921,122.802,0.861351
159.184,-1.22567,294.49,171.783,0.494376,193.725,14.1522,315.806,2.50891,2.3025,1789.68,0.191858,0.438403,0,0.492153,164.817,1.86692
532.215,0.396874,574.682,613.943,-0.75304,797.112,33.6756,286.869,3.08008,1.15425,279.65,0.0127543,0.581447,0.128765,0.438412,259.301,1.6837
234.634,-0.381151,251.884,197.529,1.77325,598.706,16.1808,634.238,3.34131,2.16108,1891.67,0.149809,0.29406,0.317479,0.777764,198.884,1.77307
321.962,-0.012811,321.988,424.285,1.55726,1052.98,56.2368,412.459,3.2309,1.57168,518.844,0.0494879,0.16691,0.417641,0.575983,296.497,2.17422
192.368,0.93993,283.787,389.864,-1.36202,814.235,73.0043,623.486,1.38399,2.30331,65.4515,0.171879,0.543514,0.755664,0.911636,160.906,0.927528
149.129,-0.5392,171.338,173.232,-0.00845695,176.162,31.9642,97.9732,0.886101,0.563481,299.944,0.452454,0.749934,0.0935334,0.671102,168.746,2.49012
168.798,2.40653,944.04,193.557,0.455971,215.419,24.4313,269.409,1.07132,3.40922,369.858,0.12127,0.436421,0.433176,0.848854,479.375,3.10899
172.336,1.20613,313.642,78.1797,-0.0710976,79.1514,11.0425,45.0934,0.679515,3.0436,554.344,0.112919,0.201023,0.248015,0.352751,138.456,0.902204
160.331,-1.87968,537.433,207.65,-1.01871,327.831,42.6675,369.814,1.84923,0.880028,261.682,0.309968,0.623333,0.755807,0.871241,586.001,3.57026
277.529,1.13629,476.822,392.955,-0.0464404,394.441,28.9226,319.921,0.227609,3.1112,444.54,0.216046,0.404953,0.0888794,0.28002,93.5539,0.875143
