ptl,etal,energyl,ptj,etaj,energyj,massj,mjj,rjj,rjl,met,n21_1,n21_2,n32_1,n32_2,infl,drfl
162.21,-2.09129,666.595,102.765,-0.364859,109.927,7.34478,64.2531,0.896167,1.72707,996.51,0.172314,0.485233,0.0834514,0.300908,200.003,2.47742
162.56,0.148897,164.366,153.878,0.739738,199.009,20.6453,75.3389,0.543623,3.06179,113.285,0,0.217275,0.327499,0.809706,164.989,2.99971
150.414,0.853412,208.594,125.826,0.121166,127.317,12.001,95.0614,1.90529,0.732257,322.844,0.292234,0.388739,0.342556,0.699364,117.137,1.93349
341.802,-1.92973,1201.92,374.51,-1.12344,637.983,39.2322,364.071,2.25383,3.1342,1627.66,0.20308,0.572592,0.224986,0.454648,287.594,1.64099
229.805,0.169052,233.097,187.721,0.417387,204.947,16.1304,127.67,0.905019,0.574071,615.899,0.446827,0.55132,0.484725,0.780582,144.322,1.46528
118.47,-0.870569,166.272,123.847,-1.08647,204.696,10.5818,142.38,1.97791,0.936582,543.043,0.255841,0.510549,0.489117,0.578837,147.289,2.09867
384.721,-0.992246,590.168,396.255,-0.620184,482.713,86.3085,591.38,2.11196,0.392247,249.078,0.383355,0.480786,0.452131,0.637109,310.15,2.15228
131.373,-1.05198,211.021,162.866,-0.298409,170.794,14.5693,243.726,1.95454,0.966016,338.955,0.461129,0.497427,0.383434,0.421305,59.6842,2.90327
502.992,0.617691,602.038,426.152,-0.67307,528.145,43.1416,381.299,1.11182,3.14352,1204.8,0.473662,0.605327,0.300196,0.655751,1699.2,1.39636
186.33,-0.232255,191.379,570.209,-1.19773,1030.88,27.9469,278.658,2.38996,0.966011,1243.31,0.181389,0.288831,0.428401,0.44565,424.082,3.5761
145.786,-0.98811,222.939,321.042,0.0545449,322.047,18.4382,393.518,2.37934,1.32842,552.794,0.529862,0.534013,0.520414,0.566759,380.997,4.03436
223.916,2.13802,962.89,142.95,0.0048777,143.271,9.55081,78.0462,0.755696,2.18918,100.824,0.0627648,0.373561,0.0331382,0.74026,1002.29,1.82047
286.555,0.712135,362.339,361.64,0.735414,470.519,78.5162,165.885,0.657493,3.07974,1264.35,0.0534446,0.32731,0,0.426238,33.7834,0.00496238
172.959,0.837359,237.222,121.234,-0.620261,147.889,27.4845,130.006,1.28446,1.46626,86.7558,0,0.337749,0.268167,0.592459,420.41,3.11962
178.274,1.99874,669.885,178.766,0.770802,235.501,21.0927,84.1048,0.666222,2.94211,568.691,0.18686,0.62611,0.506689,0.744302,35.2833,0.0210287
205.473,0.175505,208.646,333.104,2.00149,1255.36,30.0587,344.55,2.96603,1.83284,957.339,0.290939,0.43586,0.129421,0.388862,145.204,1.65412
126.32,-1.3685,264.258,231.262,-1.29065,454.045,41.517,133.422,0.734045,2.93517,439.907,0.272904,0.489458,0.75212,0.831551,113.66,1.78063
138.199,-2.08398,563.909,224.19,-1.64885,604.979,22.5687,369.858,2.05898,3.11352,1509.11,0.13874,0.161392,0,0.495764,193.624,1.82598
124.403,0.396809,134.326,265.972,-0.561985,309.625,18.1911,308.475,1.80659,1.8683,1342.2,0.281332,0.413102,0.221386,0.335588,295.43,2.42645
146.598,2.36847,789.775,126.374,-0.780665,167.263,11.3322,144.906,1.23,0.0680709,465.378,0,0.251889,0.488068,0.619194,151.165,1.76217
291.267,-1.10457,487.769,201.055,-0.339779,214.636,28.2197,334.211,1.42697,1.88966,1291.9,0.183926,0.316943,0.696926,0.750034,1338.15,2.00246
129.54,0.937163,190.713,411.475,1.49098,963.84,84.8785,574.054,1.11344,0.6065,1307.02,0.114891,0.581544,0.285551,0.597924,158.787,2.71202
140.108,0.473246,156.092,80.5167,0.0764358,81.3788,10.0807,107.508,1.64212,0.40081,311.632,0.199746,0.45165,0.429272,0.489665,147.243,1.96297
260.118,-0.0893867,261.158,363.686,0.717314,464.45,53.7166,728.245,2.86429,1.32103,2546.85,0.300632,0.515545,0.253129,0.642015,808.021,2.04238
153.109,-1.95281,550.452,417.353,-1.77901,1273.13,65.937,844.219,0.49174,2.35882,2462.88,0.244172,0.468173,0.327805,0.655875,176.967,2.99982
178.885,1.92566,626.587,361.284,-0.0968803,363.552,20.3731,1299.28,3.72727,2.08583,1246.01,0.113333,0.397947,0.458546,0.893105,637.03,2.04747
120.201,0.985488,183.449,185.245,0.411577,201.667,14.321,285.347,1.61959,3.16345,416.37,0.293433,0.380353,0.225932,0.621982,100.359,1.24736
136.208,-1.87905,456.296,106.296,-1.4526,241.266,28.2977,109.61,1.0375,2.49831,1658.19,0.130681,0.366872,0.504652,0.590102,136.976,0.678373
339.484,0.681146,421.33,173.451,0.152643,178.194,31.0061,91.0376,0.596555,0.674823,1236.37,0.363835,0.488489,0.34039,0.350201,351.603,3.06163
278.525,-0.674939,344.411,213.697,-0.892762,305.427,21.5408,97.9327,0.837203,3.01961,229.776,0.162607,0.191913,0.733314,0.765407,273.357,1.00908
183.707,-1.57454,462.541,225.338,0.377769,241.952,12.8668,278.253,2.10668,2.05846,494.739,0.272438,0.277998,0.662345,0.773486,112.029,1.08402
124.569,0.433144,136.438,182.916,-0.854428,254.654,20.252,82.7756,1.05779,3.02148,393.337,0.408138,0.540615,0.409043,0.454453,122.957,3.2479
126.166,1.63399,335.565,155.601,0.565264,181.794,15.5376,69.6082,0.814084,3.02389,1220.72,0.523029,0.631572,0.190691,0.303732,180.587,2.8403
114.564,1.55162,282.46,142.802,-0.83068,196.634,25.5334,99.0693,2.11562,3.64973,64.4184,0.421517,0.57075,0.252754,0.658716,267.814,3.19758
218.515,0.886408,310.131,175.067,1.63123,466.799,46.8905,273.387,2.06625,2.82332,744.748,0,0.398271,0.53266,0.759652,210.376,1.90568
215.521,-1.76818,649.886,148.722,0.401056,161.502,14.5695,289.949,2.53954,2.1921,1353.69,0.243775,0.309312,0.537832,0.591093,367.612,4.04692
274.713,-1.46474,626.012,450.573,-0.353426,485.789,80.8877,517.602,2.93989,1.17566,1427.74,0.107087,0.12452,0.107162,0.178594,304.871,1.6064
221.663,-0.0426199,221.865,133.292,1.55253,329.174,13.2822,82.1406,0.583106,3.34532,346,0,0.137452,0.473889,0.514745,234.378,1.66024
118.78,0.496946,133.751,136.243,-1.16634,240.244,12.7564,80.7235,0.850963,3.10737,317.422,0.338703,0.358747,0.379026,0.47994,226.689,1.8038
248.093,0.305473,259.759,159.783,0.407425,173.927,15.5765,182.987,1.33979,2.63376,1117.98,0.28188,0.333039,0.347292,0.512086,179.859,0.918149
183.493,1.77777,558.34,351.364,-1.09314,583.627,25.9115,695.336,2.76389,4.04553,307.373,0.182091,0.278614,0,0.669531,416.706,3.49084
194.299,-0.363791,207.298,99.2108,-0.702339,125.676,15.6123,202.121,1.87619,2.84827,835.925,0.327339,0.595874,0.450103,0.630237,264.391,2.63864
239.344,0.609475,285.191,380.997,0.360711,407.893,38.6943,300.695,2.5574,3.02867,445.697,0.535296,0.562538,0.619976,0.674636,174.251,1.67241
126.603,-0.941313,186.959,287.86,-0.736542,372.296,45.248,692.571,3.02475,2.43019,600.971,0.470971,0.477848,0.280648,0.624125,134.974,1.35885
155.319,1.42859,342.671,130.033,0.421497,142.413,13.6601,102.019,0.948063,1.00977,802.84,0.136055,0.299492,0.316141,0.704602,203.572,0.912255
193.479,1.34413,396.207,145.45,1.16349,257.047,28.0035,149.654,1.78553,0.868549,425.404,0.34152,0.387675,0.377677,0.601235,184.108,2.33274
157.242,1.35828,326.009,160.629,-1.06987,262.23,17.1608,215.617,1.25149,3.34178,341.663,0.41761,0.521062,0.156361,0.542839,302.162,2.67552
216.494,-0.729019,276.617,220.345,1.34573,451.968,10.0811,82.3885,0.934248,3.70668,592.333,0.1976,0.66275,0.230352,0.464884,295.834,3.19529
136.506,-0.177666,138.666,178.594,0.0950705,179.856,12.7707,85.9929,0.863193,0.275826,166.479,0.201641,0.527521,0.424853,0.743929,184.839,2.78554
167.481,-0.157232,169.556,307.647,0.00512269,309.055,29.4236,245.338,1.56816,3.0763,399.901,0.102508,0.247404,0,0.350428,307.342,2.93478
234.438,-0.69237,292.911,299.694,-0.899236,433.275,58.9088,125.606,0.50134,2.82789,151.08,0.387958,0.397001,0.355269,0.363662,204.788,1.96146
99.1135,-1.28905,193.513,205.848,-0.592447,243.835,19.6408,331.053,0.666429,1.4384,183.617,0.235884,0.353589,0.485198,0.491326,190.266,2.96785
241.229,0.840609,331.596,264.446,1.80984,830.65,44.5236,146.886,1.20025,3.27637,1227.17,0.356168,0.406894,0.518111,0.680581,192.926,0.265734
231.88,1.90052,792.897,169.978,-0.150065,172.171,9.73773,235.95,1.5381,2.22023,395.361,0.283004,0.290748,0.371395,0.534097,178.232,2.30977
105.668,-1.03972,168.116,479.694,0.0176224,481.903,45.3109,1436.57,4.10074,3.27978,1821.16,0.434598,0.598935,0.51433,0.684548,93.3869,1.23994
109.115,-1.4081,236.385,285.713,1.87786,956.414,26.1333,1220.4,2.51324,0.15983,527.425,0,0.449412,0.431664,0.693094,131.578,2.49186
173.436,-1.09651,288.573,313.079,-0.31956,332.412,46.0923,519.332,2.15271,2.86462,1096.3,0.160589,0.415246,0.434791,0.458815,245.098,3.41525
239.05,-0.543624,275.251,488.607,-0.533038,560.43,28.99,721.688,2.42647,2.08948,443.996,0.347008,0.466916,0.165562,0.391699,1001.42,1.73576
177.321,0.850819,245.469,1072.58,-1.15215,1869.03,91.1878,2749.86,2.19942,2.93847,1306.97,0.456792,0.500142,0.395978,0.607023,198.532,2.97926
171.941,-1.12613,292.987,336.001,0.499252,380.403,35.3951,623.811,1.46826,3.24036,1224.09,0.345603,0.540756,0.154209,0.635006,847.945,2.67625
139.696,-0.393035,150.625,290.611,-1.84408,942.877,48.1061,272.375,1.9657,3.26321,1258.23,0.318867,0.407628,0.671567,0.725538,153.697,0.735592
129.301,1.35017,266.183,183.523,-0.598984,218.868,24.9507,123.282,1.08095,1.95101,155.664,0.133668,0.666582,0.312062,0.331661,282.164,3.13282
361.122,-1.00949,561.294,361.495,-0.0334325,368.893,72.507,730.534,1.57231,2.54466,1145.18,0.15425,0.498503,0.310657,0.655652,260.786,2.01339
192.593,-0.42861,210.556,264.138,-1.6383,706.393,38.4456,448.469,2.83186,1.37418,1278.02,0.276315,0.430592,0.491691,0.677277,415.678,0.514117
217.56,0.593274,256.984,354.684,0.654655,433.944,20.8777,559.72,1.066,1.97984,521.978,0.194459,0.213116,0.38911,0.433432,113.84,1.45861
222.539,-0.636626,269.179,428.107,-0.477488,486.344,90.5248,581.715,2.84046,3.03409,740.735,0.13592,0.496059,0.740538,0.816264,340.762,1.23465
133.839,0.150282,135.353,323.356,0.0274606,324.014,18.6354,343.868,1.73285,0.934321,413.988,0.284353,0.578307,0.55751,0.573551,138.185,2.15312
