ptl,etal,energyl,ptj,etaj,energyj,massj,mjj,rjj,rjl,met,n21_1,n21_2,n32_1,n32_2,infl,drfl
272.169,1.7032,772.088,455.551,1.94817,1632.15,73.3441,1499.6,2.0923,3.01557,1725.31,0.0549383,0.520771,0.551319,0.75356,1072.81,1.99878
255.68,-1.8708,849.814,187.866,0.362756,202.756,31.0577,357.534,2.35961,2.26742,1809.85,0.313557,0.331726,0.42205,0.601328,312.648,2.4808
133.772,0.576826,156.651,313.734,0.27955,326.772,21.3627,422.004,2.24865,2.45493,440.509,0.0892194,0.120186,0.191768,0.230554,91.2581,1.5234
208.711,1.02943,329.417,199.794,1.18467,360.318,47.4794,271.142,1.85719,2.47688,249.56,0.202772,0.337793,0.421178,0.568034,293.005,2.45211
154.857,0.446112,170.523,116.904,-0.0428712,118.727,20.1086,83.8096,0.843801,0.51104,91.6467,0,0.279268,0.288992,0.64036,458.883,0.506149
149.193,0.362498,159.103,147.654,0.99439,228.324,25.7054,79.3865,0.651864,2.95807,537.952,0.222569,0.430574,0.337539,0.825449,126.457,1.58151
129.5,-0.878877,182.818,188.866,-1.30189,373.264,17.6646,199.76,2.53619,0.448994,658.157,0.0328772,0.444336,0.167198,0.406952,131.171,2.5683
127.319,-0.169939,129.162,304.979,-1.54726,749.38,25.8284,928.524,1.13529,3.02238,833.135,0.14735,0.311335,0.130008,0.463585,276.212,3.11296
232.071,-0.577894,271.913,299.893,0.17152,310.741,62.8661,553.147,0.919636,2.31236,390.883,0,0.235757,0.449203,0.628477,272.869,3.15462
181.495,-0.435996,199.02,266.169,-2.5857,1776.46,14.5688,1228.81,2.70063,3.68155,1452.48,0.0904309,0.555922,0.338201,0.373898,156.822,2.22112
250.331,-1.08248,411.888,354.149,0.613371,429.641,75.9012,460.803,2.12756,2.86387,777.946,0.229902,0.359718,0.166693,0.4021,673.871,1.10356
119.685,-0.0546068,119.864,71.4415,-1.5719,179.952,13.5531,47.6886,0.878765,1.5181,627.48,0.429735,0.755873,0.545519,0.739359,172.256,2.58664
262.98,0.988152,402.167,183.1,0.270333,191.338,23.9679,102.361,0.783386,0.797118,240.019,0.159015,0.568095,0.244872,0.725465,847.097,2.01756
251.897,-0.939417,371.466,132.473,-0.0644171,134.005,18.3111,132.928,1.15964,2.72744,2288.45,0.226156,0.297462,0.11501,0.463416,228.129,1.35982
172.823,2.35044,914.708,158.372,1.8256,504.879,25.6798,163.189,0.586923,0.587701,2444.79,0.354655,0.618188,0.598147,0.635856,88.2772,3.17418
258.891,0.736861,332.413,305.794,0.547322,353.131,16.3807,192.185,1.40397,3.01503,457.866,0.177868,0.313602,0.0221464,0.260695,224.304,1.29463
261.003,-0.928326,381.78,146.691,-0.22722,151.52,17.5973,230.431,1.54737,0.713157,444.954,0.387284,0.440827,0.215147,0.577163,245.185,2.43055
221.809,-0.097899,222.873,218.333,0.125028,222.856,35.3042,343.892,1.07066,2.62645,197.535,0.302525,0.412621,0.322299,0.468071,276.793,1.64629
152.432,0.0297726,152.5,412.912,-0.098195,415.542,23.0069,588.364,0.263783,2.58611,187.467,0.244167,0.426336,0.701227,0.744705,220.548,3.60504
242.005,0.264027,250.489,398.597,0.807951,536.369,21.7272,332.759,2.07384,3.03684,432.027,0.0940348,0.290348,0.438228,0.538932,209.401,1.53537
125.186,-0.735184,160.569,140.264,-0.624612,169.192,14.9855,135.372,1.73702,0.112108,103.831,0.469746,0.692123,0.0361156,0.560532,112.765,1.60328
149.741,1.45254,337.511,96.6365,1.70985,276.33,16.2979,127.22,1.55874,3.07035,144.432,0.354817,0.510476,0.603895,0.70577,108.996,1.51097
178.914,1.2544,339.129,183.165,0.116128,184.952,14.2633,260.907,2.33749,1.21554,39.1156,0.190893,0.211136,0.0284847,0.130215,717.157,2.00079
144.994,1.09079,240.151,418.774,-0.947771,625.105,68.2544,813.652,3.10779,2.22244,267.058,0.191483,0.362434,0.512627,0.754991,376.06,3.1258
166.691,-1.80114,518.546,160.415,-1.53453,389.686,15.3289,126.619,1.60799,2.7355,1461.88,0.226874,0.776637,0.382294,0.69975,153.419,1.89112
301.624,-1.53902,735.148,301.124,-0.905805,437.201,57.9885,360.97,2.91836,0.635082,723.029,0,0.36078,0.356585,0.679239,257.288,1.54898
202.09,0.908901,291.47,221.894,1.09492,369.307,20.5921,313.596,0.835006,2.34839,991.787,0.39832,0.499467,0.46959,0.614552,274.766,2.91971
167.303,-0.502991,188.917,195.749,-1.76969,592.064,33.7143,166.575,1.48477,2.97242,124.062,0.0128695,0.357341,0.0261525,0.512543,176.543,0.774954
216.811,-0.860025,302.057,205.087,-0.489865,231.646,25.932,241.541,1.84062,2.83226,487.877,0.345403,0.613706,0.63082,0.720492,263.466,1.36234
183.459,-1.65985,499.804,170.737,-0.692856,214.42,21.0574,175.457,1.2706,3.07173,1915.73,0.470383,0.486957,0.440666,0.646381,163.655,1.36438
211.515,-0.932996,310.45,393.517,0.795709,525.139,18.6458,614.285,1.11388,3.42062,400.47,0.0963704,0.143211,0.287074,0.488335,113.973,1.29203
296.104,2.06264,1183.5,381.146,-0.791555,513.676,83.052,413.224,2.11206,2.87767,905.366,0.195862,0.234366,0.427591,0.514378,105.77,0.698634
235.379,-0.919156,342.01,225.313,-0.763555,295.184,23.4898,434.065,2.02343,2.53025,230.547,0.156859,0.575172,0.453727,0.823382,296.226,1.42614
528.465,-1.02589,831.819,644.53,-1.26258,1230.83,38.3913,1677.41,2.11685,0.238828,1065.44,0.513083,0.530856,0.7041,0.734489,90.4552,0.437834
128.133,0.60632,152.416,133.144,0.717903,171.541,29.6795,51.7419,0.588397,0.210113,920.565,0.374056,0.606951,0,0.488667,15.3948,0.0184091
200.157,0.926162,292.317,295.857,0.257467,308.755,43.2057,576.93,2.42171,0.700477,739.187,0.290301,0.317447,0.361573,0.398879,767.676,1.83088
197.408,-1.92997,694.325,381.846,-0.433979,421.337,49.8919,367.568,0.893186,3.47308,1392.72,0.317746,0.425729,0.253602,0.521274,180.798,2.36779
286.352,1.32345,575.934,326.3,0.344377,348.992,46.7887,447.459,1.89941,2.89951,629.768,0.291989,0.315394,0.503373,0.52489,198.119,1.84355
146.524,0.550036,169.253,115.289,0.792456,154.245,15.8915,181.809,1.89878,1.93283,830.003,0.117875,0.386051,0.0525649,0.612632,158.527,1.69487
825.825,-0.048271,826.787,531.624,0.903563,767.736,77.5122,666.397,1.30171,0.992276,1051.26,0,0.102999,0.118104,0.67621,304.925,0.935352
