ptl,etal,energyl,ptj,etaj,energyj,massj,mjj,rjj,rjl,met,n21_1,n21_2,n32_1,n32_2,infl,drfl
301.075,0.538781,345.841,319.139,-0.610106,382.487,39.8917,255.397,1.29807,3.17742,283.146,0.352189,0.498461,0.193659,0.537146,331.322,1.1467
177.595,-0.351057,188.651,189.034,0.868957,266.296,26.1685,97.8064,0.585679,1.23059,670.332,0.219138,0.398181,0.484568,0.567926,219.514,2.51918
128.119,-1.53519,311.177,255.05,-0.530764,292.066,11.8073,402.821,2.58405,1.12701,72.1596,0.36129,0.548215,0.284619,0.651477,266.252,1.79583
224.117,-0.104919,225.352,241.494,-0.505268,274.391,27.7824,117.509,0.969426,2.93661,230.841,0.120708,0.743509,0.0345697,0.56655,155.634,1.9206
186.188,-0.743081,240.001,298.213,0.179226,304.033,24.8508,431.397,2.21808,1.62216,2173.53,0.11951,0.415977,0.586871,0.661896,1440.92,2.47414
156.63,-0.374933,167.768,169.209,-0.351156,181.102,22.09,217.813,1.10142,2.04374,115.054,0.375605,0.479405,0.0766084,0.787881,93.2071,1.34963
310.124,0.0494779,310.504,220.476,0.392206,238.748,22.8438,194.327,1.62785,2.66345,832.191,0.0867165,0.218033,0.295008,0.553875,379.04,2.39293
297.931,0.777944,392.724,324.901,0.0918664,332.092,61.8958,447.232,3.10211,3.21345,258.206,0.0461852,0.0974643,0,0.257688,192.457,1.33581
885.519,0.0447976,886.407,605.957,0.968925,914.854,52.284,443.051,1.04868,3.03493,959.665,0.190526,0.210394,0.51694,0.582438,412.494,3.03813
125.809,-1.59342,322.309,155.013,-1.15243,271.544,30.2213,130.949,1.32758,3.10666,903.023,0.629526,0.668731,0.227113,0.818093,150.608,1.32599
205.304,2.13294,878.507,127.921,1.52315,307.515,11.2167,102.816,1.05717,2.79657,1597.74,0,0.330021,0.444848,0.786935,272.284,0.781493
220.594,0.344576,233.82,205.075,0.413508,223.632,18.5702,164.536,1.27393,2.90503,503.325,0.229223,0.249423,0.292461,0.800991,110.682,1.16321
658.527,0.929883,964.351,779.318,1.07288,1274.02,61.0754,756.406,2.11045,3.04274,1688.41,0.180312,0.431047,0.442954,0.575399,229.818,1.33922
428.871,0.839674,589.154,592.12,0.620117,718.58,112.844,442.547,2.10103,0.446228,213.199,0.479624,0.495248,0.0354762,0.61526,283.667,1.52426
217.023,2.31565,1110.09,94.0913,0.976905,145,25.8615,112.326,1.14639,1.45984,1458.49,0.363878,0.446622,0.141975,0.418433,399.052,3.23131
298.495,-0.647436,363.272,524.632,1.0609,852.809,84.3904,911.682,1.60586,2.94716,277.907,0.338839,0.386515,0.633881,0.884504,279.887,1.66395
123.436,-0.104454,124.11,175.129,0.122801,178.357,26.0081,83.4989,0.69827,2.45416,691.286,0.183269,0.431135,0.437036,0.520221,65.3084,0.865495
174.365,-0.743826,224.867,129.252,-1.50743,306.247,9.26585,78.8673,0.781535,0.813801,78.0434,0.0941744,0.33221,0.469484,0.756597,148.432,1.93563
132.601,1.28694,258.427,108.03,1.498,254.335,18.3629,179.582,1.63124,3.06839,162.584,0.235987,0.284895,0.392587,0.518552,640.561,2.60538
163.86,-0.789127,217.583,173.402,-1.55887,430.427,7.1658,134.564,1.3574,3.21583,548.027,0.0623708,0.156216,0.377178,0.400053,88.8915,1.17376
261.099,-0.339202,276.265,366.125,1.59631,944.196,83.8114,464.795,2.79542,1.94185,169.145,0.109888,0.325613,0.39887,0.805439,209.11,2.51249
204.264,1.35017,420.506,314.092,0.557272,364.815,22.2149,503.584,1.71427,3.21524,801.393,0,0.125151,0.53493,0.741014,404.058,1.80363
147.305,-1.71397,422.11,209.165,-1.10081,350.198,26.1383,89.3012,0.561811,2.56332,2145.76,0.212986,0.278677,0,0.284476,236.052,3.44741
279.702,1.14293,483.162,217.181,0.377572,238.33,50.8307,211.708,2.75869,0.777131,195.462,0.571252,0.631216,0.395517,0.426805,199.947,3.23825
215.457,-0.291272,224.661,105.483,-1.89796,360.078,13.8906,66.5987,0.621732,3.02028,533.063,0.121322,0.151442,0.0639029,0.569947,224.903,1.7953
149.626,-1.35086,308.213,171.908,-1.15584,303.663,46.3277,397.91,2.46414,2.93824,658.072,0.248228,0.496449,0.410707,0.616032,244.795,2.74197
211.834,0.480751,236.789,304.492,-0.654009,372.686,23.1486,299.481,1.24674,1.31027,1253.6,0.115861,0.274583,0.350633,0.63541,307.772,2.16439
269.759,0.581864,316.728,244.095,-0.980908,372.221,26.8615,92.4397,0.766001,3.48912,153.548,0,0.176591,0.10396,0.544163,307.152,2.6734
165.308,0.990954,253.337,154.082,1.31384,308.623,28.1709,214.736,0.682157,0.38386,1011.98,0.175337,0.238569,0.637052,0.707995,81.7774,0.724537
