ptl,etal,energyl,ptj,etaj,energyj,massj,mjj,rjj,rjl,met,n21_1,n21_2,n32_1,n32_2,infl,drfl
155.371,-0.375331,166.444,302.343,-1.83196,968.617,18.8826,775.917,2.7799,1.57055,633.982,0.0602298,0.352101,0.291818,0.562455,203.243,1.62655
126.643,-1.98705,470.546,869.279,-0.310953,919.431,119.405,1523.88,0.676462,1.7076,266.635,0.308122,0.454673,0.527672,0.76161,1.12967,0.00894828
172.137,0.445748,189.523,272.249,-0.512745,311.5,40.7116,1225.19,0.649346,3.09278,4212,0.3958,0.589192,0.605072,0.859696,223.761,3.32833
321.516,-0.35086,341.509,388.424,0.725193,496.634,38.7859,650.225,0.943078,3.02861,926.204,0.460923,0.575956,0.121982,0.359288,524.112,2.29392
154.631,0.510438,175.217,112.871,0.448469,126.765,24.3056,185.39,3.07123,0.586987,1005.1,0,0.248201,0.291923,0.561934,180.342,3.04306
167.177,0.696164,209.35,229.122,0.717524,291.852,26.1667,154.256,1.21135,2.67123,352.936,0.0408811,0.502622,0.00753722,0.551956,303.98,3.00708
175.135,2.25509,844.24,335.784,1.3457,688.828,19.1579,548.543,0.821051,2.8746,478.664,0.121436,0.139839,0.396179,0.489056,478.855,2.61624
185.538,-1.1894,332.995,224.255,0.934293,330.451,25.5541,272.232,2.38191,2.1296,321.945,0.212533,0.771054,0.758174,0.888393,148.351,0.586143
334.33,1.34472,684.996,389.928,1.01289,608.429,30.8439,197.738,1.455,0.33196,1121.64,0.361676,0.435102,0,0.22736,209.694,1.73582
184.507,-2.06534,739.392,138.537,0.651612,169.341,10.6773,111.114,0.928313,4.10135,1026.43,0.570046,0.598208,0.420384,0.505692,159.589,1.71597
108.061,-1.11285,182.171,110.652,-0.331284,118.641,20.9276,207.249,2.21209,2.78429,634.161,0.00077518,0.335174,0,0.324204,94.1348,1.2534
356.715,0.461852,395.441,285.333,1.66879,785.285,47.6751,661.306,3.09545,1.50558,1275.59,0.35478,0.379873,0.496309,0.59416,266.989,2.54632
