ptl,etal,energyl,ptj,etaj,energyj,massj,mjj,rjj,rjl,met,n21_1,n21_2,n32_1,n32_2,infl,drfl
186.857,-0.144787,188.819,467.468,-0.757814,611.929,67.036,881.872,1.78352,2.09886,744.79,0.174309,0.290007,0.48026,0.511479,247.774,2.47263
324.863,1.23916,607.872,227.123,1.17992,406.128,36.975,330.37,1.64162,2.31512,983.476,0.191757,0.227518,0.584198,0.615594,528.999,1.10059
204.48,0.493594,229.899,167.085,-0.709621,212.024,21.3248,175.771,1.73749,1.25188,315.965,0.158492,0.685009,0.631,0.739464,319.989,2.52619
212.392,1.77675,645.653,167.266,-0.259758,174.459,22.9614,89.8962,0.967929,3.68206,440.477,0.0427239,0.483054,0,0.385344,195.055,3.05806
154.66,-1.58,391.361,168.98,0.381408,183.342,26.472,178.022,1.58034,3.69451,393.589,0.408697,0.517252,0.331207,0.634544,187.612,2.43748
447.655,-0.0817051,449.15,471.308,-0.497967,532.028,33.6829,273.812,0.74751,0.440606,2541.86,0.101926,0.367983,0.352262,0.558235,1191.05,2.79683
236.336,-0.00565353,236.34,437.849,2.4334,2514.65,33.4132,515.75,1.21326,2.52369,3714.69,0.328792,0.376838,0.104875,0.517244,277.945,1.88415
141.267,0.299636,147.656,224.291,0.0882052,226.902,28.0318,454.111,0.468472,1.84541,248.407,0.394905,0.464808,0.457612,0.460444,103.261,1.06684
195.628,-1.52875,472.365,316.735,-1.80498,990.918,63.2277,494.965,2.25172,0.654902,2253.84,0.375496,0.393878,0.471011,0.812748,48.5717,0.0139799
183.084,1.6531,495.662,150.662,0.401549,163.223,9.02675,127.52,1.77273,2.99584,923.43,0.262296,0.270441,0.404492,0.698263,190.083,2.46334
196.355,0.473787,218.809,521.443,-0.0237836,528.635,86.01,196.932,1.14102,3.07659,1122.23,0.265619,0.267861,0,0.653251,174.846,1.42216
146.42,1.53959,357.058,161.604,0.943515,239.955,21.013,105.531,0.75131,2.56002,251.298,0.178472,0.289986,0.409812,0.680548,166.681,1.29278
